archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,3540,3540,1,0,2301,0,0
Regular,1,3439,3439,1,0,2235,0,0
Hardcore,1,2573,2573,0,1,2629,0,0
Hoarder,1,1697,1697,0,1,1753,0,0
"Early Locker",1,8720,8720,1,0,5668,0,0
"Late Deployer",1,1127,1127,0,1,1183,0,0
Boost-Focused,1,2312,2312,0,1,2368,0,0
Star-Focused,1,4801,4801,1,0,3120,0,1
"Aggressive Sigil User",1,4126,4126,1,0,2681,0,1
"Mostly Idle",1,1948,1948,1,0,1266,0,0
