player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0.5,2009,0,0,3,0,2.6667
2,Regular,1,3,0,705,0,0,1,0,5
3,Hardcore,2,2,1,311,56,60,1,1,1.5
4,Hoarder,1,3,0,2291,0,0,1,0,1
5,"Early Locker",0,4,0,0,0,0,0,0,0
6,"Late Deployer",2,2,2,226,112,40,0,2,4
7,Boost-Focused,2,2,1,1108,0,0,2,0,4.5
8,Star-Focused,1,3,0,1646,0,0,1,0,1
9,"Aggressive Sigil User",2,2,1,3339,0,0,2,0,2
10,"Mostly Idle",1,3,0,782,0,0,1,0,4
