archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,1971,1971,1,0,1281,0,0
Regular,1,4051,4051,1,0,2633,0,1
Hardcore,1,2809,2809,0,1,2865,0,0
Hoarder,1,7477,7477,1,0,4860,0,0
"Early Locker",1,9456,9456,1,0,6146,0,0
"Late Deployer",1,13256,13256,1,0,8616,0,1
Boost-Focused,1,2555,2555,1,0,1660,0,1
Star-Focused,1,4530,4530,1,0,2944,0,1
"Aggressive Sigil User",1,4300,4300,1,0,2795,0,1
"Mostly Idle",1,5786,5786,1,0,3760,0,0
