player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,3,0,2280,0,0,1,0,2
2,Regular,2,2,1,953,0,0,2,0,3.5
3,Hardcore,2,2,2,535,56,40,1,1,3
4,Hoarder,2,2,2,4438,0,0,2,0,1.5
5,"Early Locker",2,2,0,902,0,0,2,0,2.5
6,"Late Deployer",1,3,0,96,56,0,0,1,5
7,Boost-Focused,1,3,0,166,56,40,0,1,3
8,Star-Focused,1,3,0,3764,0,0,1,0,1
9,"Aggressive Sigil User",2,2,1,7191,0,0,2,0,1.5
10,"Mostly Idle",1,3,0,197,0,0,1,0,2
