archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,5295,2525,2,0,6883,1,0
Regular,2,7174,3993,2,0,9326,0,0
Hardcore,2,3767,2790,1,1,5930,0,0
Hoarder,2,3680,2229,2,0,4783,3,0
"Early Locker",2,4065,3637,2,0,5284,1,0
"Late Deployer",2,6312,2754,2,0,8205,0,0
Boost-Focused,2,6575,2529,1,1,9488,0,0
Star-Focused,2,3271,2519,2,0,4252,10,0
"Aggressive Sigil User",2,3403,3234,2,0,4423,0,0
"Mostly Idle",2,10930,4183,2,0,14208,0,0
