player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,0,0,8014,0,0,4,0,7.5
2,Casual,1,3,0,1038,0,0,1,0,7
3,Regular,2,2,2,5541,0,0,2,0,6
4,Regular,2,2,1,9325,0,0,2,0,4
5,Hardcore,2,2,1,10150,0,0,2,0,3.5
6,Hardcore,2,2,1,5935,0,0,2,0,5
7,Hoarder,2,2,1,6816,0,0,2,0,3.5
8,Hoarder,3,1,0.5,8829,0,0,3,0,5.3333
9,"Early Locker",4,0,0,23810,0,0,4,0,4.25
10,"Early Locker",1,3,0,4546,0,0,1,0,2
11,"Late Deployer",2,2,1,3481,56,0,1,1,9.5
12,"Late Deployer",1,3,0,6922,0,0,1,0,2
13,Boost-Focused,2,2,1,3517,0,0,2,0,7.5
14,Boost-Focused,2,2,2,5186,112,0,0,2,9.5
15,Star-Focused,2,2,1,15741,0,0,2,0,2
16,Star-Focused,1,3,0,2054,0,0,1,0,8
17,"Aggressive Sigil User",2,2,1,6791,0,0,2,0,4.5
18,"Aggressive Sigil User",0,4,0,0,0,0,0,0,0
19,"Mostly Idle",2,2,0,4124,0,0,2,0,5.5
20,"Mostly Idle",3,1,0,5805,0,0,3,0,6.6667
