player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,0,4220,0,0,2,0,4.5
2,Casual,3,1,0.5,7266,0,0,3,0,5
3,Regular,1,3,0,2947,0,0,1,0,4
4,Regular,2,2,1,5723,0,0,2,0,5.5
5,Hardcore,2,2,2,7792,112,40,0,2,6
6,Hardcore,0,4,0,0,0,0,0,0,0
7,Hoarder,2,2,1,14644,0,0,2,0,2.5
8,Hoarder,2,2,1,5118,0,0,2,0,6.5
9,"Early Locker",1,3,0,1521,0,0,1,0,7
10,"Early Locker",1,3,0,2828,0,0,1,0,4
11,"Late Deployer",1,3,0,2997,0,0,1,0,7
12,"Late Deployer",2,2,1,11512,0,0,2,0,1.5
13,Boost-Focused,2,2,2,6897,112,0,0,2,8
14,Boost-Focused,1,3,0,2717,56,0,0,1,10
15,Star-Focused,1,3,0,8097,0,0,1,0,1
16,Star-Focused,2,2,1,9426,0,0,2,0,3
17,"Aggressive Sigil User",1,3,0,1505,0,0,1,0,9
18,"Aggressive Sigil User",2,2,1,9110,56,0,1,1,5
19,"Mostly Idle",1,3,0,1002,0,0,1,0,10
20,"Mostly Idle",2,2,0,9260,0,0,2,0,1.5
