archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,1844,1786,2,0,2396,1,0
Regular,2,4869,1859,1,1,7036,3,0
Hardcore,2,2898,2896,0,2,5909,2,0
Hoarder,2,11324,4137,2,0,14721,3,0
"Early Locker",2,3195,2938,2,0,4152,0,0
"Late Deployer",2,3114,1633,1,1,4676,1,0
Boost-Focused,2,2749,2615,1,1,4545,1,0
Star-Focused,2,7185,2385,2,0,9340,5,0
"Aggressive Sigil User",2,8495,3193,2,0,11043,0,0
"Mostly Idle",2,6293,2383,2,0,8180,0,0
