archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,3392,3267,2,0,4409,0,0
Regular,2,2742,1671,2,0,3564,3,1
Hardcore,2,3995,2544,1,1,6139,2,0
Hoarder,2,4926,3029,2,0,6403,8,0
"Early Locker",2,2899,2863,2,0,3768,1,0
"Late Deployer",2,2739,1445,1,1,4122,1,0
Boost-Focused,2,3539,2295,1,1,5459,1,0
Star-Focused,2,9394,4931,2,0,12212,5,0
"Aggressive Sigil User",2,3518,2005,2,0,4573,0,0
"Mostly Idle",2,9415,3160,2,0,12240,0,0
