player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,0,4,0,0,0,0,0,0,0
2,Casual,1,3,0,954,0,0,1,0,8
3,Regular,3,1,0,6174,0,0,3,0,7.6667
4,Regular,1,3,0,3315,0,0,1,0,2
5,Hardcore,2,2,1,8481,56,0,1,1,4
6,Hardcore,2,2,1,12238,56,0,1,1,3.5
7,Hoarder,1,3,0,7581,0,0,1,0,1
8,Hoarder,1,3,0,2831,0,0,1,0,3
9,"Early Locker",3,1,0.5,6201,0,0,3,0,8
10,"Early Locker",3,1,0,10073,0,0,3,0,3.6667
11,"Late Deployer",0,4,0,0,0,0,0,0,0
12,"Late Deployer",1,3,0,6921,0,0,1,0,1
13,Boost-Focused,2,2,2,5386,56,0,1,1,6.5
14,Boost-Focused,2,2,2,5585,0,0,2,0,5
15,Star-Focused,2,2,1,5191,0,0,2,0,6.5
16,Star-Focused,2,2,1,8708,0,0,2,0,3
17,"Aggressive Sigil User",1,3,0,2182,0,0,1,0,9
18,"Aggressive Sigil User",2,2,1,13141,56,0,1,1,4.5
19,"Mostly Idle",1,3,0,2698,0,0,1,0,4
20,"Mostly Idle",2,2,0,4897,0,0,2,0,2.5
