player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0,17740,0,0,3,0,3
2,Casual,2,2,2,9193,0,0,2,0,5
3,Regular,2,2,1,9599,0,0,2,0,4
4,Regular,2,2,0,8888,0,0,2,0,7
5,Hardcore,2,2,2,17049,112,40,0,2,4
6,Hardcore,1,3,0,7223,56,40,0,1,3
7,Hoarder,1,3,0,2224,0,0,1,0,7
8,Hoarder,1,3,0,7950,0,0,1,0,1
9,"Early Locker",3,1,0,9565,0,0,3,0,8.6667
10,"Early Locker",3,1,0,9506,0,0,3,0,7
11,"Late Deployer",1,3,0,6473,56,0,0,1,9
12,"Late Deployer",2,2,1,9688,56,0,1,1,9.5
13,Boost-Focused,2,2,1,11934,56,0,1,1,4.5
14,Boost-Focused,2,2,1,12338,56,0,1,1,5
15,Star-Focused,2,2,1,11276,0,0,2,0,3
16,Star-Focused,2,2,1,10965,0,0,2,0,3
17,"Aggressive Sigil User",2,2,2,13648,56,0,1,1,4
18,"Aggressive Sigil User",2,2,1,12084,56,0,1,1,6
19,"Mostly Idle",2,2,1,13355,0,0,2,0,3.5
20,"Mostly Idle",1,3,0,1619,0,0,1,0,9
