archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,7748,2860,2,0,10073,2,0
Regular,2,7099,5831,2,0,9229,2,0
Hardcore,2,5814,5802,0,2,11741,2,0
Hoarder,2,10007,9610,2,0,13008,5,0
"Early Locker",2,8185,6580,2,0,10641,1,0
"Late Deployer",2,8425,4742,1,1,12668,2,0
Boost-Focused,2,5812,5748,1,1,9624,1,1
Star-Focused,2,7080,4493,2,0,9203,6,0
"Aggressive Sigil User",2,13377,8776,2,0,17389,0,0
"Mostly Idle",2,8677,8532,2,0,11279,1,0
