player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,1,9233,0,0,2,0,6.5
2,Casual,1,3,0,6538,0,0,1,0,3
3,Regular,2,2,2,9575,0,0,2,0,5.5
4,Regular,1,3,0,4927,0,0,1,0,5
5,Hardcore,2,2,2,14561,112,0,0,2,5
6,Hardcore,1,3,0,9183,0,0,1,0,1
7,Hoarder,2,2,0,6828,0,0,2,0,7.5
8,Hoarder,2,2,1,10405,0,0,2,0,3.5
9,"Early Locker",2,2,0,11133,0,0,2,0,4
10,"Early Locker",3,1,0,13924,0,0,3,0,5
11,"Late Deployer",2,2,1,8507,0,0,2,0,8
12,"Late Deployer",1,3,0,4717,0,0,1,0,6
13,Boost-Focused,2,2,1,14155,56,0,1,1,4
14,Boost-Focused,1,3,0,8732,56,60,0,1,2
15,Star-Focused,2,2,2,13814,0,0,2,0,2.5
16,Star-Focused,2,2,1,9565,0,0,2,0,4
17,"Aggressive Sigil User",1,3,0,7003,56,0,0,1,8
18,"Aggressive Sigil User",2,2,1,15455,0,0,2,0,2
19,"Mostly Idle",1,3,0,6604,0,0,1,0,3
20,"Mostly Idle",1,3,0,2372,0,0,1,0,8
