player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,1,7442,0,0,2,0,6
2,Casual,1,3,0,9636,0,0,1,0,1
3,Casual,2,2,2,8472,0,0,2,0,7
4,Regular,1,3,0,3286,0,0,1,0,6
5,Regular,3,1,0.5,8354,0,0,3,0,11.3333
6,Regular,1,3,0,4691,0,0,1,0,4
7,Hardcore,2,2,2,9145,56,0,1,1,7
8,Hardcore,2,2,2,13442,56,0,1,1,5
9,Hardcore,1,3,0,6623,56,0,0,1,7
10,Hoarder,2,2,1,13916,0,0,2,0,5
11,Hoarder,3,1,0.5,12212,0,0,3,0,5
12,Hoarder,1,3,0,3222,0,0,1,0,12
13,"Early Locker",3,1,0,17456,0,0,3,0,4
14,"Early Locker",2,2,0,4136,0,0,2,0,10.5
15,"Early Locker",3,1,0.5,10909,0,0,3,0,6.6667
16,"Late Deployer",2,2,1,8300,56,0,1,1,9.5
17,"Late Deployer",1,3,0,4293,56,0,0,1,15
18,"Late Deployer",2,2,1,10693,56,0,1,1,5
19,Boost-Focused,2,2,2,10564,112,0,0,2,9
20,Boost-Focused,1,3,0,6588,56,0,0,1,8
21,Boost-Focused,2,2,2,10208,112,0,0,2,10
22,Star-Focused,1,3,0,4281,0,0,1,0,2
23,Star-Focused,1,3,0,4949,0,0,1,0,3
24,Star-Focused,1,3,0,3995,0,0,1,0,7
25,"Aggressive Sigil User",2,2,1,9530,0,0,2,0,2.5
26,"Aggressive Sigil User",1,3,0,6381,56,0,0,1,10
27,"Aggressive Sigil User",2,2,2,10035,56,0,1,1,5
28,"Mostly Idle",0,4,0,0,0,0,0,0,0
29,"Mostly Idle",0,4,0,0,0,0,0,0,0
30,"Mostly Idle",2,2,0,5567,0,0,2,0,13.5
