player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0,19144,0,0,3,0,3.6667
2,Casual,2,2,2,7015,0,0,2,0,9.5
3,Casual,2,2,1,5241,0,0,2,0,11.5
4,Regular,1,3,0,5057,0,0,1,0,5
5,Regular,3,1,0.5,12068,0,0,3,0,6.6667
6,Regular,2,2,1,9537,0,0,2,0,4.5
7,Hardcore,1,3,0,5693,56,0,0,1,8
8,Hardcore,1,3,0,7172,56,0,0,1,7
9,Hardcore,2,2,1,15726,56,0,1,1,5.5
10,Hoarder,2,2,1,8831,0,0,2,0,6.5
11,Hoarder,1,3,0,2587,0,0,1,0,12
12,Hoarder,2,2,1,14050,0,0,2,0,3
13,"Early Locker",3,1,0.5,12840,0,0,3,0,8.6667
14,"Early Locker",2,2,1,7435,0,0,2,0,9.5
15,"Early Locker",2,2,1,3501,0,0,2,0,13.5
16,"Late Deployer",2,2,1,11703,0,0,2,0,4.5
17,"Late Deployer",2,2,2,7507,56,0,1,1,11
18,"Late Deployer",1,3,0,5789,56,0,0,1,10
19,Boost-Focused,1,3,0,6801,56,0,0,1,8
20,Boost-Focused,2,2,2,11238,112,0,0,2,7.5
21,Boost-Focused,2,2,2,11367,112,0,0,2,7.5
22,Star-Focused,3,1,0.5,25544,0,0,3,0,2.3333
23,Star-Focused,1,3,0,6392,0,0,1,0,4
24,Star-Focused,1,3,0,4123,0,0,1,0,7
25,"Aggressive Sigil User",2,2,1,15525,0,0,2,0,3
26,"Aggressive Sigil User",1,3,0,10667,0,0,1,0,1
27,"Aggressive Sigil User",1,3,0,6786,56,0,0,1,9
28,"Mostly Idle",1,3,0,2902,0,0,1,0,10
29,"Mostly Idle",0,4,0,0,0,0,0,0,0
30,"Mostly Idle",2,2,0,7752,0,0,2,0,8
