player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0.5,6230,0,0,3,0,6
2,Casual,2,2,1,7301,0,0,2,0,6
3,Regular,3,1,0,6597,0,0,3,0,5.3333
4,Regular,1,3,0,2755,0,0,1,0,2
5,Hardcore,1,3,0,4766,56,0,0,1,4
6,Hardcore,1,3,0,4758,56,0,0,1,5
7,Hoarder,2,2,1,4830,0,0,2,0,6
8,Hoarder,2,2,1,5833,0,0,2,0,3.5
9,"Early Locker",3,1,0,10601,0,0,3,0,6.6667
10,"Early Locker",1,3,0,1608,0,0,1,0,6
11,"Late Deployer",2,2,1,4386,0,0,2,0,7.5
12,"Late Deployer",1,3,0,2289,56,0,0,1,7
13,Boost-Focused,0,4,0,0,0,0,0,0,0
14,Boost-Focused,2,2,2,6464,112,60,0,2,6
15,Star-Focused,2,2,1,5933,0,0,2,0,3.5
16,Star-Focused,2,2,1,7904,0,0,2,0,1.5
17,"Aggressive Sigil User",2,2,0,6260,56,0,1,1,7
18,"Aggressive Sigil User",2,2,2,3738,0,0,2,0,6.5
19,"Mostly Idle",1,3,0,7502,0,0,1,0,2
20,"Mostly Idle",3,1,0.5,11795,0,0,3,0,5
