archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,2424,1060,2,0,3151,2,0
Regular,2,3321,1831,1,1,5014,3,0
Hardcore,2,2754,2751,0,2,5621,2,0
Hoarder,2,4304,3623,2,0,5594,3,0
"Early Locker",2,11523,7508,2,0,14980,2,0
"Late Deployer",2,1568,1565,0,2,3248,2,0
Boost-Focused,2,2525,2525,0,2,5163,3,0
Star-Focused,2,3858,3144,2,0,5015,11,0
"Aggressive Sigil User",2,7249,2287,1,1,10280,0,0
"Mostly Idle",2,2728,2196,2,0,3546,1,0
