player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,3,0,3116,0,0,1,0,3
2,Casual,2,2,1,7078,0,0,2,0,4.5
3,Regular,2,2,1,9143,0,0,2,0,2.5
4,Regular,2,2,1,7020,0,0,2,0,5
5,Hardcore,2,2,1,10809,0,0,2,0,5.5
6,Hardcore,2,2,2,7697,112,0,0,2,6.5
7,Hoarder,1,3,0,2087,0,0,1,0,8
8,Hoarder,0,4,0,0,0,0,0,0,0
9,"Early Locker",3,1,0,7708,0,0,3,0,5.6667
10,"Early Locker",2,2,1,4090,0,0,2,0,5.5
11,"Late Deployer",2,2,1,4115,56,0,1,1,10
12,"Late Deployer",2,2,1,4906,56,0,1,1,5
13,Boost-Focused,2,2,2,5975,56,0,1,1,8
14,Boost-Focused,1,3,0,2676,56,0,0,1,13
15,Star-Focused,2,2,2,14026,0,0,2,0,1.5
16,Star-Focused,2,2,1,11528,0,0,2,0,1.5
17,"Aggressive Sigil User",2,2,1,6441,0,0,2,0,4.5
18,"Aggressive Sigil User",1,3,0,8085,0,0,1,0,1
19,"Mostly Idle",2,2,1,4465,0,0,2,0,6.5
20,"Mostly Idle",1,3,0,3706,0,0,1,0,4
