archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,3853,2937,2,0,5008,0,0
Regular,2,3579,3040,2,0,4653,2,0
Hardcore,2,2846,2841,0,2,5804,1,0
Hoarder,2,3927,2306,2,0,5104,11,0
"Early Locker",2,4513,2798,2,0,5866,1,0
"Late Deployer",2,1643,1643,0,2,3398,2,0
Boost-Focused,2,2626,2617,0,2,5364,2,0
Star-Focused,2,11153,8165,2,0,14499,11,0
"Aggressive Sigil User",2,4503,2681,2,0,5853,0,0
"Mostly Idle",2,7719,2012,2,0,10033,0,0
