player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0.5,3617,0,0,3,0,10
2,Casual,1,3,0,1543,0,0,1,0,7
3,Regular,2,2,1,4670,0,0,2,0,8
4,Regular,2,2,1,5755,0,0,2,0,4.5
5,Hardcore,2,2,2,6687,56,0,1,1,3.5
6,Hardcore,2,2,2,7320,112,40,0,2,5.5
7,Hoarder,3,1,0.5,16168,0,0,3,0,2.6667
8,Hoarder,1,3,0,6718,0,0,1,0,3
9,"Early Locker",2,2,2,5475,0,0,2,0,5
10,"Early Locker",3,1,0,13731,0,0,3,0,3
11,"Late Deployer",1,3,0,6524,0,0,1,0,1
12,"Late Deployer",1,3,0,2049,0,0,1,0,6
13,Boost-Focused,2,2,1,5951,56,0,1,1,5.5
14,Boost-Focused,2,2,2,5474,56,0,1,1,6.5
15,Star-Focused,2,2,1,8969,0,0,2,0,3.5
16,Star-Focused,2,2,1,5331,0,0,2,0,4
17,"Aggressive Sigil User",1,3,0,4055,56,0,0,1,5
18,"Aggressive Sigil User",2,2,0,6249,56,0,1,1,5.5
19,"Mostly Idle",2,2,0,4843,0,0,2,0,7
20,"Mostly Idle",1,3,0,1604,0,0,1,0,11
