archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,6367,6050,2,0,8277,1,0
Regular,2,8451,5005,2,0,10986,0,0
Hardcore,2,5354,5333,0,2,10821,1,0
Hoarder,2,13344,11619,2,0,17346,13,0
"Early Locker",2,2124,2087,2,0,2760,0,0
"Late Deployer",2,5643,4212,1,1,8866,1,0
Boost-Focused,2,5077,5063,0,2,10267,2,0
Star-Focused,2,5353,4303,2,0,6957,5,0
"Aggressive Sigil User",2,4992,4192,2,0,6488,1,0
"Mostly Idle",2,4852,3490,2,0,6307,0,0
