archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,6392,5415,3,0,12464,1,0
Regular,3,7960,7911,2,1,17211,8,0
Hardcore,3,7855,5492,1,2,19273,3,0
Hoarder,3,5191,3626,3,0,10122,8,0
"Early Locker",3,5161,4931,3,0,10064,1,0
"Late Deployer",3,4682,4504,1,2,12383,5,0
Boost-Focused,3,7575,5297,1,2,18590,1,0
Star-Focused,3,5558,6611,3,0,10837,14,0
"Aggressive Sigil User",3,7688,5685,3,0,14990,1,0
"Mostly Idle",3,10021,11423,3,0,19539,0,0
