archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,6904,6511,3,0,13463,3,0
Regular,3,7770,7793,3,0,15150,2,0
Hardcore,3,5121,4781,1,2,13440,4,0
Hoarder,3,7039,5530,3,0,13724,6,0
"Early Locker",3,3774,3583,3,0,7358,1,0
"Late Deployer",3,4884,3942,1,2,12354,3,0
Boost-Focused,3,4684,4707,0,3,14221,2,0
Star-Focused,3,9815,9377,3,0,19140,16,0
"Aggressive Sigil User",3,6012,5998,2,1,13362,3,0
"Mostly Idle",3,7682,6671,3,0,14979,0,0
