archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,7421,7421,1,0,4823,0,0
Regular,1,3967,3967,1,0,2578,0,0
Hardcore,1,6991,6991,0,1,7047,0,0
Hoarder,1,11996,11996,1,0,7797,2,0
"Early Locker",1,3504,3504,1,0,2277,0,0
"Late Deployer",1,14555,14555,1,0,9460,1,0
Boost-Focused,1,6545,6545,0,1,6601,0,0
Star-Focused,1,6136,6136,1,0,3988,3,0
"Aggressive Sigil User",1,5406,5406,1,0,3513,0,0
"Mostly Idle",1,5007,5007,1,0,3254,0,0
