archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,2332,1618,2,0,3030,0,0
Regular,2,8581,6948,2,0,11155,1,0
Hardcore,2,2803,2792,0,2,5719,1,0
Hoarder,2,13157,9161,2,0,17103,4,0
"Early Locker",2,3473,2369,2,0,4514,0,0
"Late Deployer",2,12257,10607,2,0,15933,2,1
Boost-Focused,2,2524,2511,0,2,5161,1,0
Star-Focused,2,10089,7122,2,0,13115,2,0
"Aggressive Sigil User",2,5239,5136,2,0,6810,3,0
"Mostly Idle",2,3547,1409,2,0,4610,1,0
