player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,0,4,0,0,0,0,0,0,0
2,Casual,1,3,0,3411,0,0,1,0,5
3,Regular,2,2,0,6975,0,0,2,0,3
4,Regular,3,1,0.5,15969,0,0,3,0,2.6667
5,Hardcore,2,2,2,5039,56,60,1,1,4.5
6,Hardcore,1,3,0,3138,56,0,0,1,6
7,Hoarder,2,2,1,7124,0,0,2,0,2.5
8,Hoarder,2,2,1,7591,0,0,2,0,3.5
9,"Early Locker",2,2,1,3147,0,0,2,0,6
10,"Early Locker",3,1,0.5,6044,0,0,3,0,6
11,"Late Deployer",2,2,1,7935,0,0,2,0,4.5
12,"Late Deployer",2,2,2,2812,56,0,1,1,9
13,Boost-Focused,2,2,1,6022,56,0,1,1,5
14,Boost-Focused,2,2,2,5548,112,40,0,2,6
15,Star-Focused,1,3,0,1701,0,0,1,0,7
16,Star-Focused,1,3,0,2084,0,0,1,0,5
17,"Aggressive Sigil User",2,2,1,4749,0,0,2,0,4.5
18,"Aggressive Sigil User",1,3,0,2290,0,0,1,0,6
19,"Mostly Idle",1,3,0,2480,0,0,1,0,5
20,"Mostly Idle",2,2,1,5865,0,0,2,0,3
