archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,4496,1413,2,0,5845,0,0
Regular,2,7372,7231,2,0,9584,0,0
Hardcore,2,4250,3596,2,0,5525,0,0
Hoarder,2,8761,5980,2,0,11389,6,0
"Early Locker",2,5349,2020,2,0,6953,0,0
"Late Deployer",2,5587,1781,1,1,7943,7,0
Boost-Focused,2,7330,2898,1,1,10599,0,0
Star-Focused,2,12232,9854,2,0,15902,5,0
"Aggressive Sigil User",2,3823,2704,2,0,4969,0,1
"Mostly Idle",2,2362,1221,2,0,3070,0,0
