archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,1868,1308,2,0,2428,0,0
Regular,2,3536,3170,2,0,4596,0,0
Hardcore,2,2518,2518,0,2,5149,0,0
Hoarder,2,2817,2666,2,0,3661,6,0
"Early Locker",2,11274,8529,2,0,14656,1,0
"Late Deployer",2,1448,1440,0,2,3008,1,0
Boost-Focused,2,2270,2264,1,1,3799,3,1
Star-Focused,2,6975,4844,2,0,9066,6,0
"Aggressive Sigil User",2,2087,2074,1,1,3495,2,0
"Mostly Idle",2,527,421,2,0,684,0,0
