player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,3,0,1240,0,0,1,0,5
2,Casual,2,2,1,5798,0,0,2,0,4.5
3,Regular,1,3,0,8511,0,0,1,0,1
4,Regular,1,3,0,1523,0,0,1,0,4
5,Hardcore,1,3,0,2514,0,0,1,0,6
6,Hardcore,2,2,1,11975,56,0,1,1,3
7,Hoarder,2,2,2,12746,0,0,2,0,2.5
8,Hoarder,1,3,0,5190,0,0,1,0,2
9,"Early Locker",3,1,0.5,6485,0,0,3,0,6
10,"Early Locker",2,2,1,5400,0,0,2,0,4.5
11,"Late Deployer",2,2,1,5757,56,0,1,1,6.5
12,"Late Deployer",1,3,0,1901,56,0,0,1,6
13,Boost-Focused,0,4,0,0,0,0,0,0,0
14,Boost-Focused,1,3,0,3032,56,0,0,1,4
15,Star-Focused,2,2,1,5103,0,0,2,0,5
16,Star-Focused,2,2,1,6238,0,0,2,0,2.5
17,"Aggressive Sigil User",1,3,0,4026,0,0,1,0,2
18,"Aggressive Sigil User",1,3,0,3433,56,0,0,1,7
19,"Mostly Idle",0,4,0,0,0,0,0,0,0
20,"Mostly Idle",2,2,1,6217,0,0,2,0,5
