archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,2711,2490,2,0,3523,0,0
Regular,2,5212,3479,2,0,6775,0,0
Hardcore,2,3081,2638,1,1,4985,2,0
Hoarder,2,7002,6133,2,0,9102,7,0
"Early Locker",2,1709,1502,2,0,2222,0,0
"Late Deployer",2,6228,1971,2,0,8096,3,1
Boost-Focused,2,2551,2399,2,0,3316,2,1
Star-Focused,2,5334,5233,2,0,6933,4,0
"Aggressive Sigil User",2,3931,3616,2,0,5110,0,0
"Mostly Idle",2,2042,1189,2,0,2654,0,0
