player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0.5,6698,0,0,3,0,7.6667
2,Casual,3,1,0,8063,0,0,3,0,7.3333
3,Regular,1,3,0,3545,0,0,1,0,3
4,Regular,2,2,1,8030,0,0,2,0,4
5,Hardcore,2,2,1,10950,56,0,1,1,3.5
6,Hardcore,2,2,1,10710,56,0,1,1,4.5
7,Hoarder,1,3,0,5992,0,0,1,0,3
8,Hoarder,2,2,1,7585,0,0,2,0,4
9,"Early Locker",3,1,0.5,8853,0,0,3,0,5
10,"Early Locker",2,2,0,4796,0,0,2,0,6.5
11,"Late Deployer",2,2,2,3800,56,0,1,1,8.5
12,"Late Deployer",1,3,0,2206,0,0,1,0,4
13,Boost-Focused,1,3,0,6966,0,0,1,0,1
14,Boost-Focused,1,3,0,4205,56,0,0,1,4
15,Star-Focused,2,2,1,3644,0,0,2,0,7.5
16,Star-Focused,0,4,0,0,0,0,0,0,0
17,"Aggressive Sigil User",2,2,1,7490,0,0,2,0,5.5
18,"Aggressive Sigil User",2,2,1,5733,56,0,1,1,8
19,"Mostly Idle",2,2,0,4923,0,0,2,0,6
20,"Mostly Idle",1,3,0,1488,0,0,1,0,9
